T,FK-3kW,FX-400,FX-1000
158,0.058,0.061719,0.0913045
159,0.058,0.061719,0.0913045
160,0.058,0.074219,0.0913045
161,0.099,0.074219,0.1086955
162,0.099,0.088281,0.121739
163,0.099,0.100781,0.1326085
164,0.1435,0.121875,0.1695655
165,0.1435,0.121875,0.1695655
166,0.1435,0.1359375,0.1891305
167,0.1435,0.1359375,0.204348
168,0.208,0.163281,0.2217395
169,0.208,0.163281,0.2456525
170,0.208,0.175,0.2456525
171,0.208,0.175,0.2717395
172,0.2895,0.1875,0.3
173,0.2895,0.1875,0.3
174,0.2895,0.1875,0.3
175,0.2895,0.1875,0.3
176,0.208,0.175,0.2717395
177,0.208,0.175,0.2456525
178,0.208,0.175,0.2456525
179,0.208,0.163281,0.2456525
180,0.208,0.163281,0.2217395
181,0.208,0.150781,0.204348
182,0.1435,0.121875,0.1695655
183,0.099,0.1109375,0.15
184,0.099,0.100781,0.1326085
185,0.099,0.088281,0.121739
186,0.099,0.088281,0.121739
187,0.099,0.100781,0.1326085
188,0.1435,0.121875,0.1695655
189,0.1435,0.121875,0.1695655
190,0.1435,0.1359375,0.204348
191,0.208,0.150781,0.204348
192,0.208,0.163281,0.2456525
193,0.208,0.163281,0.2456525
194,0.208,0.163281,0.2456525
195,0.208,0.175,0.2456525
196,0.208,0.175,0.2717395
197,0.208,0.175,0.2717395
198,0.208,0.175,0.2456525
199,0.208,0.163281,0.2456525
200,0.208,0.163281,0.2456525
201,0.208,0.163281,0.2217395
202,0.1435,0.1359375,0.204348
203,0.1435,0.1359375,0.204348
204,0.1435,0.1359375,0.204348
205,0.1435,0.1359375,0.204348
206,0.1435,0.1359375,0.204348
207,0.1435,0.1359375,0.204348
208,0.1435,0.1359375,0.204348
209,0.1435,0.1359375,0.1891305
210,0.1435,0.121875,0.1695655
211,0.1435,0.121875,0.1695655
212,0.099,0.1109375,0.15
213,0.099,0.1109375,0.15
214,0.099,0.088281,0.121739
215,0.099,0.088281,0.121739
216,0.099,0.100781,0.1326085
217,0.099,0.100781,0.1326085
218,0.099,0.1109375,0.15
219,0.1435,0.121875,0.1695655
220,0.208,0.150781,0.204348
221,0.208,0.163281,0.2456525
222,0.208,0.175,0.2456525
223,0.208,0.175,0.2717395
224,0.208,0.175,0.2717395
225,0.208,0.175,0.2717395
226,0.208,0.175,0.2456525
227,0.208,0.175,0.2456525
228,0.208,0.175,0.2456525
229,0.208,0.175,0.2456525
230,0.208,0.175,0.2456525
231,0.208,0.175,0.2456525
232,0.208,0.175,0.2717395
233,0.208,0.175,0.2717395
234,0.208,0.175,0.2717395
235,0.208,0.175,0.2717395
236,0.208,0.175,0.2717395
237,0.208,0.175,0.2456525
238,0.208,0.163281,0.2217395
239,0.208,0.150781,0.204348
240,0.1435,0.1359375,0.1891305
241,0.1435,0.1359375,0.1891305
242,0.1435,0.1359375,0.204348
243,0.208,0.150781,0.204348
244,0.208,0.163281,0.2456525
245,0.208,0.163281,0.2456525
246,0.208,0.163281,0.2217395
247,0.208,0.163281,0.2217395
248,0.208,0.150781,0.204348
249,0.1435,0.1359375,0.1891305
250,0.1435,0.1359375,0.1891305
251,0.1435,0.1359375,0.1891305
252,0.1435,0.1359375,0.204348
253,0.208,0.150781,0.204348
254,0.1435,0.1359375,0.204348
255,0.208,0.150781,0.204348
256,0.208,0.163281,0.2217395
257,0.208,0.163281,0.2456525
258,0.208,0.163281,0.2456525
259,0.208,0.163281,0.2456525
260,0.208,0.175,0.2456525
261,0.208,0.175,0.2717395
262,0.208,0.175,0.2456525
263,0.208,0.163281,0.2217395
264,0.1435,0.1359375,0.1891305
265,0.1435,0.121875,0.1695655
266,0.099,0.1109375,0.15
267,0.099,0.100781,0.1326085
268,0.099,0.100781,0.1326085
269,0.099,0.100781,0.1326085
270,0.099,0.100781,0.1326085
271,0.099,0.100781,0.1326085
272,0.099,0.100781,0.1326085
273,0.099,0.100781,0.1326085
274,0.099,0.100781,0.1326085
275,0.1435,0.121875,0.1695655
276,0.1435,0.1359375,0.1891305
277,0.208,0.150781,0.204348
278,0.208,0.163281,0.2456525
279,0.208,0.175,0.2456525
280,0.2895,0.1875,0.3
281,0.2895,0.1875,0.3
282,0.2895,0.1875,0.3
283,0.2895,0.1875,0.3
284,0.2895,0.1875,0.3
285,0.208,0.175,0.2717395
286,0.208,0.175,0.2456525
287,0.208,0.175,0.2456525
288,0.208,0.175,0.2717395
289,0.2895,0.1875,0.3
290,0.2895,0.1875,0.3
291,0.2895,0.1875,0.3
292,0.2895,0.1875,0.3
293,0.2895,0.1875,0.3
