T,Sunergy-370W,Luxen-450W
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0.009751757,0.011869194
297,0.051553619,0.062825128
298,0.179810864,0.220023922
299,0.207846951,0.254581194
300,0.26522675,0.325548315
301,0.322787782,0.397133946
302,0.299225101,0.367788695
303,0.306361958,0.376645233
304,0.194929078,0.238628949
305,0.201345319,0.246531709
306,0.115625246,0.141183618
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0.009127583,0.011110891
321,0.083644331,0.102027775
322,0.176322938,0.215651909
323,0.18753518,0.229448454
324,0.141588281,0.172989158
325,0.160853483,0.196643544
326,0.287217409,0.352582581
327,0.286434843,0.351612211
328,0.264056014,0.323904403
329,0.202229806,0.247565504
330,0.134364098,0.164152514
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0.006814304,0.00829512
345,0.080429157,0.09809799
346,0.172968278,0.211531323
347,0.23415018,0.286909907
348,0.274608972,0.336923934
349,0.32298021,0.396969957
350,0.312750119,0.384298643
351,0.305865384,0.375766265
352,0.264377759,0.32431913
353,0.20429144,0.250109402
354,0.136485966,0.166748369
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0.009037958,0.011002803
369,0.090527353,0.110471209
370,0.176265211,0.215690004
371,0.239519465,0.293729461
372,0.296504425,0.364351983
373,0.324070352,0.398580037
374,0.328576359,0.40416689
375,0.292707068,0.359529179
376,0.26790181,0.328762844
377,0.207649563,0.254292785
378,0.139423917,0.170371108
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0.009014942,0.010972429
393,0.087155222,0.106312398
394,0.178256538,0.218049874
395,0.248922276,0.305216935
396,0.298864119,0.367100517
397,0.321858513,0.395666218
398,0.330221085,0.406077888
399,0.310745558,0.381842884
400,0.269503007,0.330678998
401,0.201162195,0.246248057
402,0.124827948,0.152447337
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
