T,Sunergy-370W,Luxen-450W
328,0.125023615,0.153444152
329,0.083005622,0.101632685
330,0.028439226,0.034705492
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0.099538238,0.121557159
345,0.175722545,0.215507739
346,0.237312659,0.292257691
347,0.277122488,0.342485614
348,0.297286921,0.368317867
349,0.29761401,0.369032908
350,0.281657477,0.349083405
351,0.242309223,0.299580619
352,0.185270582,0.22822616
353,0.112139484,0.137563557
354,0.020622385,0.025169506
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0.095040031,0.116125335
369,0.171328837,0.210185643
370,0.233692653,0.28789224
371,0.27822004,0.344001262
372,0.299506025,0.371248756
373,0.300480425,0.372813507
374,0.280108157,0.347228953
375,0.230511328,0.284893703
376,0.185552808,0.228664615
377,0.112747062,0.138364301
378,0.033095222,0.040437514
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0.076133844,0.092983393
393,0.168371086,0.206583481
394,0.234177269,0.288547709
395,0.276462839,0.341774145
396,0.298283857,0.369561913
397,0.299545597,0.371395006
398,0.278456301,0.344884099
399,0.237202311,0.293056402
400,0.188297537,0.231941914
401,0.112314404,0.137779239
402,0.028487843,0.034793789
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0.074722292,0.091258902
417,0.156884677,0.192414414
418,0.236292891,0.291179651
419,0.252705676,0.312049821
420,0.232950731,0.287646461
421,0.24096598,0.297877887
422,0.209307234,0.258368282
423,0.179637974,0.221395746
424,0.082003448,0.100557455
425,0.054362401,0.066549003
426,0.020375413,0.024885076
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0.097543585,0.119227619
441,0.174672316,0.214424953
442,0.237034123,0.292210282
443,0.279642469,0.345973983
444,0.30115487,0.373515141
445,0.302731401,0.375786699
446,0.284933607,0.353400689
447,0.24713831,0.305795524
448,0.19072054,0.235137523
449,0.11726169,0.143955234
450,0.036597268,0.044730523
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0.097381376,0.11902548
465,0.174777449,0.214518206
466,0.237560772,0.292813448
467,0.279936742,0.346322613
468,0.301312127,0.37371394
469,0.302574297,0.375547646
470,0.283411077,0.351431834
471,0.239717608,0.296374774
472,0.188794435,0.232676653
473,0.090200478,0.110582678
474,0.021137397,0.025816267
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0.094135702,0.115019779
489,0.171972213,0.210983127
490,0.235618943,0.290235077
491,0.280670519,0.346914874
492,0.293905839,0.36388931
493,0.305019069,0.3781561
494,0.286029512,0.35432532
495,0.169522737,0.208674289
496,0.173125287,0.213065418
497,0.118265187,0.145122205
498,0.037354306,0.045647473
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0.098061233,0.119825481
513,0.173957089,0.213427696
514,0.241248069,0.297236101
515,0.284531507,0.351781981
516,0.307643919,0.381261527
517,0.309661622,0.384110512
518,0.291759548,0.361613443
519,0.25348084,0.31343863
520,0.195707299,0.241165566
521,0.120937408,0.148424283
522,0.039012092,0.047665678
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0.094722685,0.11571858
537,0.173068734,0.212284911
538,0.237117609,0.292022138
539,0.284377654,0.35149614
540,0.306684974,0.379953998
541,0.308375618,0.382398796
542,0.272030043,0.336747571
543,0.179885608,0.221553019
544,0.117938683,0.144782278
545,0.118905728,0.145890014
546,0.026091238,0.031861142
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0.096701779,0.118124476
561,0.175695992,0.215479808
562,0.239691689,0.295151005
563,0.282716783,0.349371158
564,0.301165073,0.373089086
565,0.27303235,0.338003896
566,0.249848565,0.309012407
567,0.221751168,0.273842996
568,0.190726987,0.235054702
569,0.109968069,0.134915244
